2021-11-21 17:31:44 [-3000]  T[0]  Resurrection Check Turn Left:-9
2021-11-21 17:31:44 [-2700]  T[10]  Resurrection Check Turn Left:1
2021-11-21 17:31:44 [-2400]  T[20]  Resurrection Check Turn Left:11
2021-11-21 17:31:44 [-2370]  T[21]  [Harappa]  Stability is 0
2021-11-21 17:31:44 [-2370]  T[21]  [Harappa]  Stability Category 0 is 0
2021-11-21 17:31:44 [-2370]  T[21]  [Harappa]  Stability Category 1 is 0
2021-11-21 17:31:44 [-2370]  T[21]  [Harappa]  Stability Category 2 is 0
2021-11-21 17:31:44 [-2370]  T[21]  [Harappa]  Stability Category 3 is 0
2021-11-21 17:31:44 [-2370]  T[21]  [Harappa]  Stability Category 4 is 0
2021-11-21 17:31:44 [-2340]  T[22]  [Babylonia]  Stability is 0
2021-11-21 17:31:44 [-2340]  T[22]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:31:44 [-2340]  T[22]  [Babylonia]  Stability Category 1 is 0
2021-11-21 17:31:44 [-2340]  T[22]  [Babylonia]  Stability Category 2 is 0
2021-11-21 17:31:44 [-2340]  T[22]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:31:44 [-2340]  T[22]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:31:44 [-2100]  T[30]  Resurrection Check Turn Left:21
2021-11-21 17:31:44 [-2075]  T[31]  [Egypt]  Stability is 4
2021-11-21 17:31:44 [-2075]  T[31]  [Egypt]  Stability Category 0 is 0
2021-11-21 17:31:44 [-2075]  T[31]  [Egypt]  Stability Category 1 is 0
2021-11-21 17:31:44 [-2075]  T[31]  [Egypt]  Stability Category 2 is 4
2021-11-21 17:31:44 [-2075]  T[31]  [Egypt]  Stability Category 3 is 0
2021-11-21 17:31:44 [-2075]  T[31]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:31:44 [-2050]  T[32]  [Babylonia]  Stability is 0
2021-11-21 17:31:44 [-2050]  T[32]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:31:44 [-2050]  T[32]  [Babylonia]  Stability Category 1 is 0
2021-11-21 17:31:44 [-2050]  T[32]  [Babylonia]  Stability Category 2 is 0
2021-11-21 17:31:44 [-2050]  T[32]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:31:44 [-2050]  T[32]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:31:44 [-2025]  T[33]  [Harappa]  Stability is 1
2021-11-21 17:31:44 [-2025]  T[33]  [Harappa]  Stability Category 0 is 1
2021-11-21 17:31:44 [-2025]  T[33]  [Harappa]  Stability Category 1 is 0
2021-11-21 17:31:44 [-2025]  T[33]  [Harappa]  Stability Category 2 is 0
2021-11-21 17:31:44 [-2025]  T[33]  [Harappa]  Stability Category 3 is 0
2021-11-21 17:31:44 [-2025]  T[33]  [Harappa]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1900]  T[38]  [Harappa]  Stability is 4
2021-11-21 17:31:44 [-1900]  T[38]  [Harappa]  Stability Category 0 is 1
2021-11-21 17:31:44 [-1900]  T[38]  [Harappa]  Stability Category 1 is 3
2021-11-21 17:31:44 [-1900]  T[38]  [Harappa]  Stability Category 2 is 0
2021-11-21 17:31:44 [-1900]  T[38]  [Harappa]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1900]  T[38]  [Harappa]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1875]  T[39]  [Harappa]  Stability is 4
2021-11-21 17:31:44 [-1875]  T[39]  [Harappa]  Stability Category 0 is 1
2021-11-21 17:31:44 [-1875]  T[39]  [Harappa]  Stability Category 1 is 3
2021-11-21 17:31:44 [-1875]  T[39]  [Harappa]  Stability Category 2 is 0
2021-11-21 17:31:44 [-1875]  T[39]  [Harappa]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1875]  T[39]  [Harappa]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1850]  T[40]  Resurrection Check Turn Left:31
2021-11-21 17:31:44 [-1800]  T[42]  [Egypt]  Stability is 5
2021-11-21 17:31:44 [-1800]  T[42]  [Egypt]  Stability Category 0 is 1
2021-11-21 17:31:44 [-1800]  T[42]  [Egypt]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1800]  T[42]  [Egypt]  Stability Category 2 is 4
2021-11-21 17:31:44 [-1800]  T[42]  [Egypt]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1800]  T[42]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1700]  T[46]  [Harappa]  Stability is 8
2021-11-21 17:31:44 [-1700]  T[46]  [Harappa]  Stability Category 0 is 2
2021-11-21 17:31:44 [-1700]  T[46]  [Harappa]  Stability Category 1 is 6
2021-11-21 17:31:44 [-1700]  T[46]  [Harappa]  Stability Category 2 is 0
2021-11-21 17:31:44 [-1700]  T[46]  [Harappa]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1700]  T[46]  [Harappa]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1625]  T[49]  [Babylonia]  Stability is 0
2021-11-21 17:31:44 [-1625]  T[49]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:31:44 [-1625]  T[49]  [Babylonia]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1625]  T[49]  [Babylonia]  Stability Category 2 is 0
2021-11-21 17:31:44 [-1625]  T[49]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1625]  T[49]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1600]  T[50]  [Babylonia]  Stability is 0
2021-11-21 17:31:44 [-1600]  T[50]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:31:44 [-1600]  T[50]  [Babylonia]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1600]  T[50]  [Babylonia]  Stability Category 2 is 0
2021-11-21 17:31:44 [-1600]  T[50]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1600]  T[50]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1600]  T[50]  Resurrection Check Turn Left:41
2021-11-21 17:31:44 [-1550]  T[52]  [Egypt]  Stability is 5
2021-11-21 17:31:44 [-1550]  T[52]  [Egypt]  Stability Category 0 is 1
2021-11-21 17:31:44 [-1550]  T[52]  [Egypt]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1550]  T[52]  [Egypt]  Stability Category 2 is 4
2021-11-21 17:31:44 [-1550]  T[52]  [Egypt]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1550]  T[52]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1500]  T[54]  [Egypt]  Stability is 4
2021-11-21 17:31:44 [-1500]  T[54]  [Egypt]  Stability Category 0 is 0
2021-11-21 17:31:44 [-1500]  T[54]  [Egypt]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1500]  T[54]  [Egypt]  Stability Category 2 is 4
2021-11-21 17:31:44 [-1500]  T[54]  [Egypt]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1500]  T[54]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1425]  T[57]  [Babylonia]  Stability is 2
2021-11-21 17:31:44 [-1425]  T[57]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:31:44 [-1425]  T[57]  [Babylonia]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1425]  T[57]  [Babylonia]  Stability Category 2 is 2
2021-11-21 17:31:44 [-1425]  T[57]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1425]  T[57]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1375]  T[59]  [China]  Stability is 1
2021-11-21 17:31:44 [-1375]  T[59]  [China]  Stability Category 0 is 1
2021-11-21 17:31:44 [-1375]  T[59]  [China]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1375]  T[59]  [China]  Stability Category 2 is 0
2021-11-21 17:31:44 [-1375]  T[59]  [China]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1375]  T[59]  [China]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1350]  T[60]  [Egypt]  Stability is 12
2021-11-21 17:31:44 [-1350]  T[60]  [Egypt]  New Stability Level is 3
2021-11-21 17:31:44 [-1350]  T[60]  [Egypt]  Stability Category 0 is 0
2021-11-21 17:31:44 [-1350]  T[60]  [Egypt]  Stability Category 1 is 6
2021-11-21 17:31:44 [-1350]  T[60]  [Egypt]  Stability Category 2 is 6
2021-11-21 17:31:44 [-1350]  T[60]  [Egypt]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1350]  T[60]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1350]  T[60]  Resurrection Check Turn Left:51
2021-11-21 17:31:44 [-1175]  T[67]  [Egypt]  Stability is 21
2021-11-21 17:31:44 [-1175]  T[67]  [Egypt]  New Stability Level is 3
2021-11-21 17:31:44 [-1175]  T[67]  [Egypt]  Stability Category 0 is 1
2021-11-21 17:31:44 [-1175]  T[67]  [Egypt]  Stability Category 1 is 15
2021-11-21 17:31:44 [-1175]  T[67]  [Egypt]  Stability Category 2 is 6
2021-11-21 17:31:44 [-1175]  T[67]  [Egypt]  Stability Category 3 is -1
2021-11-21 17:31:44 [-1175]  T[67]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1175]  T[67]  [China]  Stability is 1
2021-11-21 17:31:44 [-1175]  T[67]  [China]  Stability Category 0 is 1
2021-11-21 17:31:44 [-1175]  T[67]  [China]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1175]  T[67]  [China]  Stability Category 2 is 0
2021-11-21 17:31:44 [-1175]  T[67]  [China]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1175]  T[67]  [China]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1100]  T[70]  Resurrection Check Turn Left:61
2021-11-21 17:31:44 [-1075]  T[71]  [Babylonia]  Stability is 2
2021-11-21 17:31:44 [-1075]  T[71]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:31:44 [-1075]  T[71]  [Babylonia]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1075]  T[71]  [Babylonia]  Stability Category 2 is 2
2021-11-21 17:31:44 [-1075]  T[71]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1075]  T[71]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1025]  T[73]  [Egypt]  Stability is 22
2021-11-21 17:31:44 [-1025]  T[73]  [Egypt]  New Stability Level is 4
2021-11-21 17:31:44 [-1025]  T[73]  [Egypt]  Stability Category 0 is 1
2021-11-21 17:31:44 [-1025]  T[73]  [Egypt]  Stability Category 1 is 15
2021-11-21 17:31:44 [-1025]  T[73]  [Egypt]  Stability Category 2 is 6
2021-11-21 17:31:44 [-1025]  T[73]  [Egypt]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1025]  T[73]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1025]  T[73]  [Greece]  Stability is 4
2021-11-21 17:31:44 [-1025]  T[73]  [Greece]  Stability Category 0 is 0
2021-11-21 17:31:44 [-1025]  T[73]  [Greece]  Stability Category 1 is 0
2021-11-21 17:31:44 [-1025]  T[73]  [Greece]  Stability Category 2 is 5
2021-11-21 17:31:44 [-1025]  T[73]  [Greece]  Stability Category 3 is -1
2021-11-21 17:31:44 [-1025]  T[73]  [Greece]  Stability Category 4 is 0
2021-11-21 17:31:44 [-1000]  T[74]  [India]  Stability is 15
2021-11-21 17:31:44 [-1000]  T[74]  [India]  New Stability Level is 3
2021-11-21 17:31:44 [-1000]  T[74]  [India]  Stability Category 0 is 2
2021-11-21 17:31:44 [-1000]  T[74]  [India]  Stability Category 1 is 6
2021-11-21 17:31:44 [-1000]  T[74]  [India]  Stability Category 2 is 7
2021-11-21 17:31:44 [-1000]  T[74]  [India]  Stability Category 3 is 0
2021-11-21 17:31:44 [-1000]  T[74]  [India]  Stability Category 4 is 0
2021-11-21 17:33:52 [-985]  T[75]  [Greece]  Stability is 4
2021-11-21 17:33:52 [-985]  T[75]  [Greece]  Stability Category 0 is 0
2021-11-21 17:33:52 [-985]  T[75]  [Greece]  Stability Category 1 is 0
2021-11-21 17:33:52 [-985]  T[75]  [Greece]  Stability Category 2 is 5
2021-11-21 17:33:52 [-985]  T[75]  [Greece]  Stability Category 3 is -1
2021-11-21 17:33:52 [-985]  T[75]  [Greece]  Stability Category 4 is 0
2021-11-21 17:33:52 [-925]  T[79]  [China]  Stability is 1
2021-11-21 17:33:52 [-925]  T[79]  [China]  Stability Category 0 is 1
2021-11-21 17:33:52 [-925]  T[79]  [China]  Stability Category 1 is 0
2021-11-21 17:33:52 [-925]  T[79]  [China]  Stability Category 2 is 0
2021-11-21 17:33:52 [-925]  T[79]  [China]  Stability Category 3 is 0
2021-11-21 17:33:52 [-925]  T[79]  [China]  Stability Category 4 is 0
2021-11-21 17:33:52 [-910]  T[80]  [Egypt]  Stability is 17
2021-11-21 17:33:52 [-910]  T[80]  [Egypt]  Stability Category 0 is 2
2021-11-21 17:33:52 [-910]  T[80]  [Egypt]  Stability Category 1 is 9
2021-11-21 17:33:52 [-910]  T[80]  [Egypt]  Stability Category 2 is 6
2021-11-21 17:33:52 [-910]  T[80]  [Egypt]  Stability Category 3 is 0
2021-11-21 17:33:52 [-910]  T[80]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:33:52 [-910]  T[80]  Resurrection Check Turn Left:71
2021-11-21 17:33:52 [-895]  T[81]  [Egypt]  Stability is 17
2021-11-21 17:33:52 [-895]  T[81]  [Egypt]  Stability Category 0 is 2
2021-11-21 17:33:52 [-895]  T[81]  [Egypt]  Stability Category 1 is 9
2021-11-21 17:33:52 [-895]  T[81]  [Egypt]  Stability Category 2 is 6
2021-11-21 17:33:52 [-895]  T[81]  [Egypt]  Stability Category 3 is 0
2021-11-21 17:33:52 [-895]  T[81]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:33:52 [-880]  T[82]  [Greece]  Stability is 4
2021-11-21 17:33:52 [-880]  T[82]  [Greece]  Stability Category 0 is 0
2021-11-21 17:33:52 [-880]  T[82]  [Greece]  Stability Category 1 is 0
2021-11-21 17:33:52 [-880]  T[82]  [Greece]  Stability Category 2 is 5
2021-11-21 17:33:52 [-880]  T[82]  [Greece]  Stability Category 3 is -1
2021-11-21 17:33:52 [-880]  T[82]  [Greece]  Stability Category 4 is 0
2021-11-21 17:33:52 [-865]  T[83]  [Greece]  Stability is 5
2021-11-21 17:33:52 [-865]  T[83]  [Greece]  Stability Category 0 is 0
2021-11-21 17:33:52 [-865]  T[83]  [Greece]  Stability Category 1 is 0
2021-11-21 17:33:52 [-865]  T[83]  [Greece]  Stability Category 2 is 5
2021-11-21 17:33:52 [-865]  T[83]  [Greece]  Stability Category 3 is 0
2021-11-21 17:33:52 [-865]  T[83]  [Greece]  Stability Category 4 is 0
2021-11-21 17:33:52 [-865]  T[83]  [India]  Stability is 10
2021-11-21 17:33:52 [-865]  T[83]  [India]  Stability Category 0 is 1
2021-11-21 17:33:52 [-865]  T[83]  [India]  Stability Category 1 is 3
2021-11-21 17:33:52 [-865]  T[83]  [India]  Stability Category 2 is 6
2021-11-21 17:33:52 [-865]  T[83]  [India]  Stability Category 3 is 0
2021-11-21 17:33:52 [-865]  T[83]  [India]  Stability Category 4 is 0
2021-11-21 17:33:52 [-865]  T[83]  [Babylonia]  Stability is 2
2021-11-21 17:33:52 [-865]  T[83]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:33:52 [-865]  T[83]  [Babylonia]  Stability Category 1 is 0
2021-11-21 17:33:52 [-865]  T[83]  [Babylonia]  Stability Category 2 is 2
2021-11-21 17:33:52 [-865]  T[83]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:33:52 [-865]  T[83]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:33:52 [-835]  T[85]  [Babylonia]  Stability is 5
2021-11-21 17:33:52 [-835]  T[85]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:33:52 [-835]  T[85]  [Babylonia]  Stability Category 1 is 3
2021-11-21 17:33:52 [-835]  T[85]  [Babylonia]  Stability Category 2 is 2
2021-11-21 17:33:52 [-835]  T[85]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:33:52 [-835]  T[85]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:33:52 [-820]  T[86]  [Egypt]  Stability is 13
2021-11-21 17:33:52 [-820]  T[86]  [Egypt]  New Stability Level is 3
2021-11-21 17:33:52 [-820]  T[86]  [Egypt]  Stability Category 0 is 2
2021-11-21 17:33:52 [-820]  T[86]  [Egypt]  Stability Category 1 is 6
2021-11-21 17:33:52 [-820]  T[86]  [Egypt]  Stability Category 2 is 6
2021-11-21 17:33:52 [-820]  T[86]  [Egypt]  Stability Category 3 is -1
2021-11-21 17:33:52 [-820]  T[86]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:33:52 [-820]  T[86]  [Greece]  Stability is 11
2021-11-21 17:33:52 [-820]  T[86]  [Greece]  New Stability Level is 3
2021-11-21 17:33:52 [-820]  T[86]  [Greece]  Stability Category 0 is 0
2021-11-21 17:33:52 [-820]  T[86]  [Greece]  Stability Category 1 is 6
2021-11-21 17:33:52 [-820]  T[86]  [Greece]  Stability Category 2 is 5
2021-11-21 17:33:52 [-820]  T[86]  [Greece]  Stability Category 3 is 0
2021-11-21 17:33:52 [-820]  T[86]  [Greece]  Stability Category 4 is 0
2021-11-21 17:33:52 [-790]  T[88]  [China]  Stability is 0
2021-11-21 17:33:52 [-790]  T[88]  [China]  Stability Category 0 is 0
2021-11-21 17:33:52 [-790]  T[88]  [China]  Stability Category 1 is 0
2021-11-21 17:33:52 [-790]  T[88]  [China]  Stability Category 2 is 0
2021-11-21 17:33:52 [-790]  T[88]  [China]  Stability Category 3 is 0
2021-11-21 17:33:52 [-790]  T[88]  [China]  Stability Category 4 is 0
2021-11-21 17:33:52 [-775]  T[89]  [Egypt]  Stability is 7
2021-11-21 17:33:52 [-775]  T[89]  [Egypt]  Stability Category 0 is 1
2021-11-21 17:33:52 [-775]  T[89]  [Egypt]  Stability Category 1 is 0
2021-11-21 17:33:52 [-775]  T[89]  [Egypt]  Stability Category 2 is 6
2021-11-21 17:33:52 [-775]  T[89]  [Egypt]  Stability Category 3 is 0
2021-11-21 17:33:52 [-775]  T[89]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:33:52 [-775]  T[89]  [Carthage]  Stability is 14
2021-11-21 17:33:52 [-775]  T[89]  [Carthage]  New Stability Level is 3
2021-11-21 17:33:52 [-775]  T[89]  [Carthage]  Stability Category 0 is 2
2021-11-21 17:33:52 [-775]  T[89]  [Carthage]  Stability Category 1 is 9
2021-11-21 17:33:52 [-775]  T[89]  [Carthage]  Stability Category 2 is 3
2021-11-21 17:33:52 [-775]  T[89]  [Carthage]  Stability Category 3 is 0
2021-11-21 17:33:52 [-775]  T[89]  [Carthage]  Stability Category 4 is 0
2021-11-21 17:33:52 [-760]  T[90]  Resurrection Check Turn Left:81
2021-11-21 17:33:52 [-745]  T[91]  [Greece]  Stability is 11
2021-11-21 17:33:52 [-745]  T[91]  [Greece]  New Stability Level is 3
2021-11-21 17:33:52 [-745]  T[91]  [Greece]  Stability Category 0 is 1
2021-11-21 17:33:52 [-745]  T[91]  [Greece]  Stability Category 1 is 6
2021-11-21 17:33:52 [-745]  T[91]  [Greece]  Stability Category 2 is 5
2021-11-21 17:33:52 [-745]  T[91]  [Greece]  Stability Category 3 is -1
2021-11-21 17:33:52 [-745]  T[91]  [Greece]  Stability Category 4 is 0
2021-11-21 17:33:52 [-730]  T[92]  [Greece]  Stability is 10
2021-11-21 17:33:52 [-730]  T[92]  [Greece]  Stability Category 0 is 0
2021-11-21 17:33:52 [-730]  T[92]  [Greece]  Stability Category 1 is 6
2021-11-21 17:33:52 [-730]  T[92]  [Greece]  Stability Category 2 is 5
2021-11-21 17:33:52 [-730]  T[92]  [Greece]  Stability Category 3 is -1
2021-11-21 17:33:52 [-730]  T[92]  [Greece]  Stability Category 4 is 0
2021-11-21 17:33:52 [-730]  T[92]  [Babylonia]  Stability is 2
2021-11-21 17:33:52 [-730]  T[92]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:33:52 [-730]  T[92]  [Babylonia]  Stability Category 1 is 0
2021-11-21 17:33:52 [-730]  T[92]  [Babylonia]  Stability Category 2 is 2
2021-11-21 17:33:52 [-730]  T[92]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:33:52 [-730]  T[92]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:33:52 [-700]  T[94]  [Egypt]  Stability is 7
2021-11-21 17:33:52 [-700]  T[94]  [Egypt]  Stability Category 0 is 1
2021-11-21 17:33:52 [-700]  T[94]  [Egypt]  Stability Category 1 is 0
2021-11-21 17:33:52 [-700]  T[94]  [Egypt]  Stability Category 2 is 7
2021-11-21 17:33:52 [-700]  T[94]  [Egypt]  Stability Category 3 is -1
2021-11-21 17:33:52 [-700]  T[94]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:33:52 [-700]  T[94]  [India]  Stability is 6
2021-11-21 17:33:52 [-700]  T[94]  [India]  Stability Category 0 is 2
2021-11-21 17:33:52 [-700]  T[94]  [India]  Stability Category 1 is 0
2021-11-21 17:33:52 [-700]  T[94]  [India]  Stability Category 2 is 5
2021-11-21 17:33:52 [-700]  T[94]  [India]  Stability Category 3 is -1
2021-11-21 17:33:52 [-700]  T[94]  [India]  Stability Category 4 is 0
2021-11-21 17:33:52 [-685]  T[95]  [China]  Stability is 0
2021-11-21 17:33:52 [-685]  T[95]  [China]  Stability Category 0 is 0
2021-11-21 17:33:52 [-685]  T[95]  [China]  Stability Category 1 is 0
2021-11-21 17:33:52 [-685]  T[95]  [China]  Stability Category 2 is 0
2021-11-21 17:33:52 [-685]  T[95]  [China]  Stability Category 3 is 0
2021-11-21 17:33:52 [-685]  T[95]  [China]  Stability Category 4 is 0
2021-11-21 17:33:52 [-670]  T[96]  [Carthage]  Stability is 15
2021-11-21 17:33:52 [-670]  T[96]  [Carthage]  New Stability Level is 3
2021-11-21 17:33:52 [-670]  T[96]  [Carthage]  Stability Category 0 is 1
2021-11-21 17:33:52 [-670]  T[96]  [Carthage]  Stability Category 1 is 9
2021-11-21 17:33:52 [-670]  T[96]  [Carthage]  Stability Category 2 is 6
2021-11-21 17:33:52 [-670]  T[96]  [Carthage]  Stability Category 3 is -1
2021-11-21 17:33:52 [-670]  T[96]  [Carthage]  Stability Category 4 is 0
2021-11-21 17:33:52 [-640]  T[98]  [Egypt]  Stability is 9
2021-11-21 17:33:52 [-640]  T[98]  [Egypt]  Stability Category 0 is 3
2021-11-21 17:33:52 [-640]  T[98]  [Egypt]  Stability Category 1 is 0
2021-11-21 17:33:52 [-640]  T[98]  [Egypt]  Stability Category 2 is 7
2021-11-21 17:33:52 [-640]  T[98]  [Egypt]  Stability Category 3 is -1
2021-11-21 17:33:52 [-640]  T[98]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:33:52 [-640]  T[98]  [Greece]  Stability is 10
2021-11-21 17:33:52 [-640]  T[98]  [Greece]  Stability Category 0 is 0
2021-11-21 17:33:52 [-640]  T[98]  [Greece]  Stability Category 1 is 6
2021-11-21 17:33:52 [-640]  T[98]  [Greece]  Stability Category 2 is 5
2021-11-21 17:33:52 [-640]  T[98]  [Greece]  Stability Category 3 is -1
2021-11-21 17:33:52 [-640]  T[98]  [Greece]  Stability Category 4 is 0
2021-11-21 17:33:52 [-640]  T[98]  [Babylonia]  Stability is 2
2021-11-21 17:33:52 [-640]  T[98]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:33:52 [-640]  T[98]  [Babylonia]  Stability Category 1 is 0
2021-11-21 17:33:52 [-640]  T[98]  [Babylonia]  Stability Category 2 is 2
2021-11-21 17:33:52 [-640]  T[98]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:33:52 [-640]  T[98]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:33:52 [-610]  T[100]  [Carthage]  Stability is 14
2021-11-21 17:33:52 [-610]  T[100]  [Carthage]  Stability Category 0 is 2
2021-11-21 17:33:52 [-610]  T[100]  [Carthage]  Stability Category 1 is 6
2021-11-21 17:33:52 [-610]  T[100]  [Carthage]  Stability Category 2 is 7
2021-11-21 17:33:52 [-610]  T[100]  [Carthage]  Stability Category 3 is -1
2021-11-21 17:33:52 [-610]  T[100]  [Carthage]  Stability Category 4 is 0
2021-11-21 17:33:52 [-610]  T[100]  [China]  Stability is 11
2021-11-21 17:33:52 [-610]  T[100]  [China]  New Stability Level is 3
2021-11-21 17:33:52 [-610]  T[100]  [China]  Stability Category 0 is 0
2021-11-21 17:33:52 [-610]  T[100]  [China]  Stability Category 1 is 6
2021-11-21 17:33:52 [-610]  T[100]  [China]  Stability Category 2 is 5
2021-11-21 17:33:52 [-610]  T[100]  [China]  Stability Category 3 is 0
2021-11-21 17:33:52 [-610]  T[100]  [China]  Stability Category 4 is 0
2021-11-21 17:33:52 [-610]  T[100]  Resurrection Check Turn Left:91
2021-11-21 17:33:52 [-580]  T[102]  [Egypt]  Stability is 8
2021-11-21 17:33:52 [-580]  T[102]  [Egypt]  Stability Category 0 is 2
2021-11-21 17:33:52 [-580]  T[102]  [Egypt]  Stability Category 1 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Egypt]  Stability Category 2 is 7
2021-11-21 17:33:52 [-580]  T[102]  [Egypt]  Stability Category 3 is -1
2021-11-21 17:33:52 [-580]  T[102]  [Egypt]  Stability Category 4 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Greece]  Stability is 10
2021-11-21 17:33:52 [-580]  T[102]  [Greece]  Stability Category 0 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Greece]  Stability Category 1 is 6
2021-11-21 17:33:52 [-580]  T[102]  [Greece]  Stability Category 2 is 5
2021-11-21 17:33:52 [-580]  T[102]  [Greece]  Stability Category 3 is -1
2021-11-21 17:33:52 [-580]  T[102]  [Greece]  Stability Category 4 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Babylonia]  Stability is 5
2021-11-21 17:33:52 [-580]  T[102]  [Babylonia]  Stability Category 0 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Babylonia]  Stability Category 1 is 3
2021-11-21 17:33:52 [-580]  T[102]  [Babylonia]  Stability Category 2 is 2
2021-11-21 17:33:52 [-580]  T[102]  [Babylonia]  Stability Category 3 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Babylonia]  Stability Category 4 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Polynesia]  Stability is 0
2021-11-21 17:33:52 [-580]  T[102]  [Polynesia]  Stability Category 0 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Polynesia]  Stability Category 1 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Polynesia]  Stability Category 2 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Polynesia]  Stability Category 3 is 0
2021-11-21 17:33:52 [-580]  T[102]  [Polynesia]  Stability Category 4 is 0
2021-11-21 17:33:52 [-580]  T[102]  [India]  Stability is 8
2021-11-21 17:33:52 [-580]  T[102]  [India]  Stability Category 0 is 1
2021-11-21 17:33:52 [-580]  T[102]  [India]  Stability Category 1 is 0
2021-11-21 17:33:52 [-580]  T[102]  [India]  Stability Category 2 is 8
2021-11-21 17:33:52 [-580]  T[102]  [India]  Stability Category 3 is -1
